,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
78035,William Dills,1932-03-25,Male,[],1878-01-01 00:00:00
78036,Alexis B. Luce,1968-11,Male,[],1884-07-25 00:00:00
78075,Jane Renouardt,1972-02-03,Female,[],1890-07-07 00:00:00
78081,Jan Grader,1937-12-19,Male,[],1859-11-14 00:00:00
78087,Co Balfoort,1945-09-01,Male,[],1887-12-25 00:00:00
78095,Evelyn Greeley,1975-03-25,Female,[],1888-11-03 00:00:00
78097,William H. Tuers,1949-09-08,Male,[],1884-08-21 00:00:00
78119,Arthur A. Cadwell,1930-04-29,Male,[],1879-01-01 00:00:00
78162,Carl J. Lawrence,1975-06-07,Male,[],1904-09-24 00:00:00
78163,Irving Birnbaum,1981-12-15,Male,[],1899-01-17 00:00:00
78183,Conrad Wells,1930-01-02,Male,[],1892-01-01 00:00:00
78189,Gordon Standing,1927-05-21,Male,[],1887-11-24 00:00:00
78190,Mario Majeroni,1931-11-18,Male,[],1870-01-01 00:00:00
78242,Paul Verne,1897-08-27,Male,[],1829-06-25 00:00:00
78259,Geoffrey Cheshire,2004-10,Male,[],1927-03-26 00:00:00
78260,Jack Silk,2005-03-12,Male,[],1922-09-10 00:00:00
78267,Victor Savelievich Kramarov,1951-03-28,Male,[],1900-01-01 00:00:00
78270,Jean Tarride,1980-06-05,Male,[],1901-03-15 00:00:00
78301,Walter Robinson,1958-11-01,Male,[],1894-03-30 00:00:00
78302,Ella Carter Woods,1937-07-03,Female,[],1860-01-01 00:00:00
78318,James Durkin,1934-03-12,Male,[],1879-05-21 00:00:00
78332,Lorraine Fielding,1966-10-04,Female,[],1911-03-06 00:00:00
78355,Betty Wonder,1979-07-24,Female,[],1912-08-25 00:00:00
78365,Kyle Sweet,2009-03-05,Female,[],1956-07-26 00:00:00
78375,Hatasegawa Kunishichiro,1974-05-12,Male,[],1905-06-01 00:00:00
78384,Markian Boryshko,1960-11-15,Male,[],1885-01-01 00:00:00
78389,Yoshihiro Momota,2000-11-22,Male,[],1946-03-15 00:00:00
78392,Mariam Bykhovskaya,2011-09-27,Female,[],1925-05-27 00:00:00
78401,Aleksei Korenev,1995-02-26,Male,[],1927-05-02 00:00:00
78415,Elsa Ratassepp,1972-05-04,Female,[],1893-03-07 00:00:00
78417,Evi Rauer,2004-09-17,Female,[],1915-10-29 00:00:00
78421,Arnold Sikkel,1974-12-22,Male,[],1912-08-28 00:00:00
78433,Evald Hermaküla,2000-05-16,Male,[],1941-12-06 00:00:00
78460,J. Leslie Frith,1961-02-01,Male,[],1884-09-28 00:00:00
78481,Arthur Kleiner,1980-03-31,Male,[],1903-03-20 00:00:00
78493,Xiang Kairan,1957,Male,[],1889-01-01 00:00:00
78501,Ernest Mosny,1918-04-25,Male,[],1861-01-04 00:00:00
78545,Keyi Dong,1978,Male,[],1906-01-01 00:00:00
78550,Xianzhai Wang,1942,Male,[],1900-01-01 00:00:00
78551,Pei-Zhen Xia,1975,Female,[],1908-01-01 00:00:00
78552,Jie Tang,1953,Male,[],1902-01-01 00:00:00
78579,Krzysztof Wilmanski,2012-08-26,None,[],1940-03-01 00:00:00
78580,George Singer,2002-02-10,Male,[],1923-12-13 00:00:00
78666,Yvonne Dany,1985-06-05,Female,[],1903-11-01 00:00:00
78669,Cadex,1986-08-17,Male,[],1902-09-25 00:00:00
78672,Robert Duke,1979-03-08,Male,[],1917-06-22 00:00:00
78673,Fernand Rauzéna,1976-08-20,Male,[],1900-09-24 00:00:00
78744,Kohitachi Yoshitaro,1927-09-15,Male,[],1886-02-09 00:00:00
78762,Tyler Lambert,2010-05-06,Male,[],1984-07-02 00:00:00
78843,Sid Griffiths,1967,Male,[],1901-01-01 00:00:00
78902,Zenaide Williams,1960-05-30,Female,[],1866-08-22 00:00:00
78904,Samuel N. Niblack,1930-12-20,Male,[],1873-02-28 00:00:00
78959,Venancio Muro,1976-04-10,Male,[],1928-07-28 00:00:00
78970,Dorothy Porter,2008-08-21,Female,[],1923-06-17 00:00:00
78977,Antonio Ramírez Ángel,1986-04-24,Male,[],1917-01-01 00:00:00
